Date_quarter,Date,sp500,vix,cpi,pop16,hours,priv_emp,wti,gs2,nfci,epu,gdp,inv,unrate,GPRD,GPRD_ACT,GPRD_THREAT,t10Y2Y,t10Y3M,payems
1997,1997-01-01,784.740657618788,19.9165,159.633333333333,202395.666666667,89.468,102074.333333333,22.79,6.04333333333333,-0.71948,79.3281164532046,12115.472,1823.255,5.23333333333333,53.8845555555556,52.8697777777778,54.1885555555556,0.522333333333333,1.36916666666667,121674
1997.25,1997-04-01,823.489846229553,19.92296875,160,202835.333333333,89.905,102933.333333333,19.9066666666667,6.27333333333333,-0.643956923076923,77.1506612429754,12317.221,1935.157,5,51.8907692307692,50.0234065934066,50.798021978022,0.42375,1.5071875,122554.666666667
1997.5,1997-07-01,929.944374084473,22.445,160.8,203366.666666667,90.449,103597.666666667,19.7833333333333,5.90333333333333,-0.650788461538462,63.3451762442716,12471.01,1962.053,4.86666666666667,46.1978260869565,44.6216304347826,44.7285869565217,0.3384375,1.05578125,123258.333333333
1997.75,1997-10-01,951.379063606262,27.092380952381,161.666666666667,203935.333333333,90.871,104478,19.9166666666667,5.73333333333333,-0.516756153846154,94.2039636446579,12577.495,1990.86,4.66666666666667,51.1421739130435,34.9332608695652,61.4055434782609,0.171774193548387,0.676612903225807,124233
1998,1998-01-01,1023.09000484279,21.3245901639344,162,204395,91.43,105213.333333333,15.93,5.44666666666667,-0.609929230769231,97.4836146219956,12703.742,2078.205,4.63333333333333,62.1794444444445,44.9521111111111,74.3823333333333,0.141311475409836,0.402295081967213,124996
1998.25,1998-04-01,1109.66713944692,21.5342857142857,162.533333333333,204905,91.91,105932.666666667,14.6533333333333,5.55666666666667,-0.590367692307692,78.4907193380081,12821.339,2065.336,4.4,73.4865934065934,43.7425274725275,93.4842857142858,0.0349206349206349,0.477619047619048,125789.333333333
1998.5,1998-07-01,1085.08077907562,29.75171875,163.366666666667,205482.666666667,92.047,106542.333333333,14.13,5.13333333333333,-0.38163,133.640940942545,12982.752,2118.989,4.53333333333333,70.8376086956522,72.1998913043478,71.5721739130435,0.07125,0.24703125,126500.333333333
1998.75,1998-10-01,1121.6270275116,29.5371875,164.133333333333,206097.666666667,93.178,107214,12.84,4.38,-0.0758423076923077,123.140987866927,13191.67,2183.382,4.43333333333333,65.8769565217392,51.4868478260869,76.6863043478261,0.285645161290323,0.299032258064516,127255.333333333
1999,1999-01-01,1260.49262575243,27.2527868852459,164.733333333333,206876,93.042,107885,13.0466666666667,4.85,-0.315813846153846,95.1155635162424,13315.597,2243.548,4.3,68.9533333333334,58.5333333333334,75.7688888888889,0.139180327868852,0.475245901639344,128017
1999.25,1999-04-01,1329.64333767361,24.3955555555556,165.966666666667,207431.666666667,93.552,108585,17.66,5.28333333333333,-0.404613076923077,69.8299900560801,13426.748,2244.682,4.26666666666667,89.8941758241759,89.8504395604395,91.3016483516484,0.25703125,0.9575,128831
1999.5,1999-07-01,1341.98672485352,23.320625,167.2,208043.666666667,94.159,109215.666666667,21.7366666666667,5.63,-0.19098,80.3512089680671,13604.771,2306.47,4.23333333333333,65.3029347826087,58.7332608695652,69.2008695652174,0.250625,1.0878125,129588.333333333
1999.75,1999-10-01,1374.09875106812,22.65828125,168.433333333333,208660.333333333,94.544,109978.333333333,24.5633333333333,5.94,-0.138344285714286,73.6588971166946,13827.98,2367.988,4.06666666666667,73.3592391304348,68.8754347826087,78.7207608695652,0.196612903225806,0.937258064516129,130476
2000,2000-01-01,1420.00142609127,23.1503174603175,170.1,211586,94.989,110611,28.8066666666667,6.52666666666667,-0.176049230769231,78.5508393318485,13878.147,2351.223,4.03333333333333,60.0396703296704,58.9474725274726,59.6289010989011,-0.0579365079365079,0.763809523809524,131245.333333333
2000.25,2000-04-01,1446.59364924355,24.9239682539683,171.433333333333,212242,95.247,111071.333333333,28.7833333333333,6.56333333333333,-0.00458923076923077,99.4423931729044,14130.908,2490.501,3.93333333333333,64.6535164835165,59.0960439560439,68.7630769230769,-0.387777777777778,0.288888888888889,132016.666666667
2000.5,2000-07-01,1475.97888764881,19.1690476190476,173,212918.666666667,95.241,111453.666666667,31.6233333333333,6.21666666666667,-0.152286923076923,73.0386005171645,14145.312,2466.375,4,50.4425,39.814347826087,56.8072826086957,-0.327142857142857,-0.312222222222222,132266.666666667
2000.75,2000-10-01,1366.3103124225,26.0166666666667,174.233333333333,213560.333333333,94.876,111772.333333333,31.98,5.71333333333333,-0.124842307692308,135.181993094403,14229.765,2471.534,3.9,55.541847826087,55.5025,57.2771739130435,-0.148387096774194,-0.629516129032258,132541.333333333
2001,2001-01-01,1273.32903855847,25.7264516129032,175.9,214101,94.847,111852,28.81,4.58666666666667,-0.237588461538462,136.204645683519,14183.12,2358.969,4.23333333333333,55.0945555555556,47.606,61.5873333333333,0.464032258064516,0.110806451612903,132747.333333333
2001.25,2001-04-01,1234.25031389509,23.9238095238095,177.133333333333,214735.666666667,93.925,111335.666666667,27.8833333333333,4.19,-0.388302307692308,119.88516373965,14271.694,2362.652,4.4,59.9734065934066,55.4431868131868,63.37,1.08444444444444,1.53555555555556,132388.333333333
2001.5,2001-07-01,1153.70661331436,25.3803389830509,177.633333333333,215421.666666667,92.801,110770,26.6,3.64,-0.448990769230769,162.819676531987,14214.516,2311.409,4.83333333333333,186.559120879121,99.1810389610389,121.685326086957,1.31950819672131,1.71213114754098,131985
2001.75,2001-10-01,1115.36766052246,27.91,177.5,216111.666666667,91.734,109874.333333333,20.4033333333333,2.87333333333333,-0.379410769230769,189.830669382262,14253.574,2196.554,5.5,344.336304347826,512.173373493976,173.915543478261,1.895,2.81241935483871,131193
2002,2002-01-01,1132.21483357748,21.3608333333333,178.066666666667,216664,90.985,109373,21.61,3.20333333333333,-0.479113846153846,116.857384288415,14372.785,2262.071,5.7,154.930888888889,229.440222222222,98.4473333333334,1.87866666666667,3.32483333333333,130772.333333333
2002.25,2002-04-01,1070.15000247955,21.643125,179.466666666667,217203.666666667,91.178,109138,26.27,3.22333333333333,-0.592146153846154,105.318212252303,14460.848,2298.939,5.83333333333333,153.759230769231,203.378461538462,121.971758241758,1.8721875,3.35984375,130640
2002.5,2002-07-01,895.488596916199,35.0684375,180.433333333333,217867.666666667,90.85,108996.333333333,28.33,2.23,-0.421854615384615,141.876130099409,14519.633,2295.983,5.73333333333333,138.536304347826,168.022391304348,120.109456521739,2.03359375,2.59859375,130556
2002.75,2002-10-01,886.52828502655,30.72671875,181.5,218543,90.989,108990,28.18,1.89,-0.430050769230769,150.535444889975,14537.58,2293.746,5.86666666666667,166.580108695652,181.928260869565,165.733152173913,2.11516129032258,2.63887096774194,130566
2003,2003-01-01,860.76016385438,30.0226229508197,183.366666666667,220109.333333333,90.527,108796.333333333,34.12,1.64666666666667,-0.539653846153846,190.666199044311,14614.141,2312.465,5.86666666666667,264.480777777778,268.732444444444,296.280333333333,2.27098360655738,2.74524590163934,130416.333333333
2003.25,2003-04-01,937.994601779514,21.5312698412698,183.066666666667,220774,90.24,108595,29.0366666666667,1.42333333333333,-0.699689230769231,136.528413073941,14743.567,2327.492,6.13333333333333,185.796373626374,228.592967032967,162.883956043956,2.19904761904762,2.56174603174603,130184.333333333
2003.5,2003-07-01,1000.38046932221,19.32015625,184.433333333333,221512.666666667,90.376,108632.333333333,30.2133333333333,1.68,-0.69863,101.672127902741,14988.782,2411.638,6.13333333333333,130.146847826087,164.128043478261,104.540543478261,2.549375,3.27984375,130196.666666667
2003.75,2003-10-01,1056.452501297,17.4271875,185.133333333333,222275.666666667,90.798,108957,31.19,1.86333333333333,-0.720428461538462,82.5418921066473,15162.76,2493.928,5.83333333333333,118.947391304348,149.493152173913,99.2039130434783,2.42887096774194,3.35,130503.333333333
