horizon,lower90,lower68,median,upper68,upper90,p,rho,alpha,application,information_set,info_set_label,shock
10,-0.00191641157737261,-0.00102765552726572,3.37530220770703e-05,0.00104491740906944,0.00187995280233023,0.032044375,0.0505897868442961,0.999,dralacbn,uncertainty,Uncertainty,one_sd
11,-0.00185068131369023,-0.000940832111160059,0.000103014222331058,0.00114208893399558,0.00203164131263917,0.032044375,0.0505897868442961,0.999,dralacbn,uncertainty,Uncertainty,one_sd
12,-0.00178526254586141,-0.000869468029254079,0.0001690670436564,0.001228582658925,0.0021723596047362,0.032044375,0.0505897868442961,0.999,dralacbn,uncertainty,Uncertainty,one_sd
0,-0.000342134128683395,-7.02939362858173e-06,0.000423222073358903,0.00105981347616217,0.00158588838239275,0.032044375,0.0505897868442961,0.99,dralacbn,uncertainty,Uncertainty,2001Q3
1,-0.000627142435382765,-1.63120247266352e-05,0.000884014047852356,0.00187797218361261,0.00264715691597866,0.032044375,0.0505897868442961,0.99,dralacbn,uncertainty,Uncertainty,2001Q3
2,-0.00123835930678573,-0.000465278083983079,0.000647067300417723,0.00186630446190875,0.00284183600790629,0.032044375,0.0505897868442961,0.99,dralacbn,uncertainty,Uncertainty,2001Q3
3,-0.00205425621715507,-0.00105516191730754,0.000399012915494389,0.00196881805021543,0.00321090481798636,0.032044375,0.0505897868442961,0.99,dralacbn,uncertainty,Uncertainty,2001Q3
4,-0.00304530476500514,-0.00189841582046675,-0.000113212041068504,0.00176828479550371,0.00322065847311433,0.032044375,0.0505897868442961,0.99,dralacbn,uncertainty,Uncertainty,2001Q3
5,-0.00390910862778202,-0.00247290247131155,-0.000397812800269553,0.00185567251075264,0.00359329502492799,0.032044375,0.0505897868442961,0.99,dralacbn,uncertainty,Uncertainty,2001Q3
6,-0.00435790739158413,-0.00266911339150443,-0.000366269010789067,0.00226669525771769,0.00438570740615193,0.032044375,0.0505897868442961,0.99,dralacbn,uncertainty,Uncertainty,2001Q3
7,-0.00477065674521627,-0.00295113369747684,-0.00043610384850646,0.00246532624332029,0.00488492407095314,0.032044375,0.0505897868442961,0.99,dralacbn,uncertainty,Uncertainty,2001Q3
